country_economy,level,policyType,keyPolicyMeasuresAndTargets,year,category,source,policyStage
India,Subnational,Target,100% electric buses sales by 2030.,2021.0,Bus,"Government of Assam, India",ZEV Mandates
India,Subnational,Target,"100 000 electric two-wheelers, 75 000 electric three-wheelers stock by 2026.",2021.0,2/3W,"Government of Assam, India",Direct Subsidies
India,Subnational,Target,20 000 4W EVs in stock by 2025.,2021.0,LDV,"Government of Gujarat, India",Direct Subsidies
India,Subnational,Target,"110 000 electric two-wheelers, 70 000 electric three-wheelers stock by 2025.",2021.0,2/3W,"Government of Gujarat, India",Direct Subsidies
India,Subnational,Target,"5% electric 4W sales by 2025, 25% for electric fleet operators.",2021.0,LDV,"NITI Aayog, Government of India",Direct Subsidies
India,Subnational,Target,15% electric bus sales (25% in urban areas) by 2025.,2021.0,Bus,"NITI Aayog, Government of India",ICE Bans
India,Subnational,Target,10% electric two-wheeler sales by 2025; 20% electric three-wheeler sales by 2025.,2021.0,2/3W,"NITI Aayog, Government of India",Unclear / Needs Review
India,Subnational,Ambition,15% of sales to be EV by 2025.,2021.0,Multiple,"NITI Aayog, Government of India",Unclear / Needs Review
India,Subnational,Ambition,BEVs to account for 20% of total vehicle sales by 2025.,2021.0,Multiple,"NITI Aayog, Government of India",Unclear / Needs Review
Mexico,National,Proposal,"50% of LDV sales to be HEVs, PHEVs, and BEVs by 2030, 100% to be PHEVs and BEVs by 2040, and 100% BEVs by 2050",2021.0,LDV,Government of Mexico,ZEV Mandates
Mexico,National,Proposal,"Deployment of 338,000 electric HDVs by 2030, 894,000 by 2040, and 987,000 by 2050.",2021.0,"M/HDV, Bus",Government of Mexico,ZEV Mandates
Mexico,National,Proposal,"Deployment of 7M electric LDVs by 2030, 22M by 2040, and 31M by 2050.",2021.0,LDV,Government of Mexico,ZEV Mandates
Nepal,National,Ambition,"25% share of EVs in private passenger vehicle sales (including two-wheelers) by 2025, and 90% by 2030.",2021.0,LDV,Government of Nepal,ZEV Mandates
Nepal,National,Ambition,"20% 4W (i.e. bus and taxi) public passenger vehicle sales, 60% by 2030.",2021.0,Bus,Government of Nepal,ZEV Mandates
Netherlands,National,Target,Zero emission transport zones to be introduced in 14 cities by 2025.,2021.0,Multiple,Government of the Netherlands,ZEV Mandates
Netherlands,National,Legislation,Grants towards the purchase of a new light or medium duty commercial vehicle (N1/N2).,2021.0,"LDV, M/HDV",Government of the Netherlands,EV Grants
Netherlands,National,Ambition,100% ZEV share of car sales by 2030.,2021.0,LDV,Government of the Netherlands,ZEV Mandates
Norway,National,Target,All new medium-duty and 50% of heavy-duty vehicles to be zero-emission by 2030.,2021.0,M/HDV,Government of Norway,ZEV Mandates
Norway,National,Target,All new LDV sales to be zero-emission by 2025.,2021.0,LDV,Government of Norway,ZEV Mandates
Norway,National,Target,"All new city buses to be zero-emission or biogas by 2025, 75% ZEV inter-city buses by 2030.",2021.0,Bus,Government of Norway,ZEV Mandates
Norway,Multi-national,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2021.0,M/HDV,CALSTART: Drive to Zero MOU,ZEV Mandates
Pakistan,National,Ambition,"Changes to tax codes to promote local manufacturing and export potential of EVs, EV parts, and charging equipment.",2021.0,"Manufacturing, Taxation",Government of Pakistan,Unclear / Needs Review
Poland,National,Legislation,"Grants towards the purchase of ZEVs, with higher amounts available depending on vehicle size, commercial use, and annual mileage.",2021.0,LDV,Government of Poland,ZEV Mandates
Netherlands,National,Legislation,"Grants available, increasing with the size of the bus being purchased.",2021.0,Bus,Government of the Netherlands,EV Grants
Netherlands,Multi-national,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2021.0,M/HDV,CALSTART: Drive to Zero MOU,ZEV Mandates
New Zealand,National,Target,100% of sales of urban buses to be ZEVs by 2025 and 100% of stock by 2035.,2021.0,Bus,Government of New Zealand,ZEV Mandates
New Zealand,Multi-national,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2021.0,M/HDV,CALSTART: Drive to Zero MOU,ZEV Mandates
Portugal,Multi-national,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2021.0,M/HDV,CALSTART: Drive to Zero MOU,ZEV Mandates
Russia,National,Target,"Scenarios (3) envisage a 5-30% share of new sales by 2030, meaning 0.5 - 3.2 million EVs on the road by 2030.",2021.0,LDV,Government of Russia,ZEV Mandates
Russia,National,Target,EVs are exempt from tolls.,2021.0,"LDV, Taxation",Government of Russia,Unclear / Needs Review
Russia,National,Ambition,"At least 9 400 and 2 900 standard and fast charging stations by 2024, and 72 000 and 28 000 respectively by 2030, and up to 144 000 in more ambitious scenarios.",2021.0,EVSE,Government of Russia,Infrastructure Spending
Russia,National,Target,"State funding for the development of a battery industry, including production of the raw materials.",2021.0,Manufacturing,Government of Russia,Early EV R&D
Russia,National,Target,"Production of at least 25 000 EVs by 2024, and no less than 10% of total production to be EVs by 2030.",2021.0,Manufacturing,Government of Russia,ZEV Mandates
Rwanda,National,Legislation,"VAT, withholding tax, and import duty exemptions for EVs and associated parts/equipment.",2021.0,Taxation,Government of Rwanda,Unclear / Needs Review
Rwanda,National,Legislation,"Introduction of a carbon tax, establishment of restricted zones for green transport, and further preferential treatment for EVs.",2021.0,"Taxation, Multiple",Government of Rwanda,Unclear / Needs Review
Rwanda,National,Legislation,"Tariffs at charging stations are capped at industrial rates, with lower off-peak tariffs; provision of charging stations including planning codes.",2021.0,EVSE,Government of Rwanda,Infrastructure Spending
Scotland,Multi-national,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2021.0,M/HDV,CALSTART: Drive to Zero MOU,ZEV Mandates
Singapore,National,Legislation,"Suite of rebates, reduced registration costs, and lower taxes applied to EVs and petrol hybrids.",2021.0,"LDV, Taxation",Government of Singapore,EV Grants
Singapore,National,Target,"No new diesel car or taxi registrations from 2025, and all new registrations to be EV, PHEV, or FCEV by 2030.",2021.0,LDV,Government of Singapore,ZEV Mandates
Sint Maarten,Multi-national,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2021.0,M/HDV,CALSTART: Drive to Zero MOU,ZEV Mandates
Spain,National,Proposal,"Creation of low-emissions zones in municipalities with more than 50 000 people, covering 70% of Spanish cities.",2021.0,Multiple,Government of Spain,Direct Subsidies
Spain,National,Target,National Energy and Climate Plan: 5 million EVs by 2030 (across all modes); interim goal of 250 000 by 2023.,2021.0,Multiple,Government of Spain,ZEV Mandates
Spain,National,Legislation,"Grants towards the purchase of EVs, with bonuses for scrapping a vehicle more than 7 years old, for self-employed drivers in municipalities of fewer than 5 000 people, and for those with reduced mobility.",2021.0,LDV,Government of Spain,EV Grants
Spain,National,Proposal,No sales of passenger LDVs that emit CO2 at the tailpipe by 2040.,2021.0,LDV,Government of Spain,ZEV Mandates
Spain,National,Proposal,Grants of 70 - 80% for non-commercial communities and the self-employed installing charging infrastructure.,2021.0,EVSE,Government of Spain,EV Grants
Spain,National,Proposal,Grants of 30 - 55% for businesses installing charging infrastructure.,2021.0,EVSE,Government of Spain,EV Grants
Spain,National,Proposal,"Fuel supply facilities are obliged to install EV chargers, with limited exceptions.",2021.0,EVSE,Government of Spain,Unclear / Needs Review
Spain,National,Legislation,"Grants available for vehicle purchase depending on vehicle and company size, as well as for charging infrastructure.",2021.0,"M/HDV, EVSE",Government of Spain,EV Grants
Sweden,National,Ambition,Public and private pledges (accompanied by action plans) to electrify regional freight transport under the Commission for Electrification.,2021.0,M/HDV,Government of Sweden,Unclear / Needs Review
Sweden,National,Proposal,Expansion of 2 400 km of electric road by 2037.,2021.0,"M/HDV, EVSE",Government of Sweden,Unclear / Needs Review
Switzerland,Multi-national,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2021.0,M/HDV,CALSTART: Drive to Zero MOU,ZEV Mandates
Thailand,National,Ambition,"402 000 EV LDVs by 2025, 6.4 million by 2035.",2021.0,LDV,Government of Thailand,Direct Subsidies
Thailand,National,Ambition,"31 000 EV buses/trucks by 2025, and 430 000 buses/trucks by 2035.",2021.0,"M/HDV, Bus",Government of Thailand,Direct Subsidies
Thailand,National,Ambition,12 000 public fast charging stations by 2030 and 1 450 battery swapping stations.,2021.0,EVSE,Government of Thailand,Infrastructure Spending
Thailand,National,Ambition,"622 000 EV two/three-wheelers by 2025, and 8.75 million by 2035.",2021.0,2/3W,Government of Thailand,Direct Subsidies
Thailand,National,Ambition,"30% share of ZEVs in domestic LDV production by 2030, 50% by 2035. 35% share of ZEVs in domestic bus production by 2025, 50% by 2030 and 85% by 2035.",2021.0,Manufacturing,Government of Thailand,ZEV Mandates
Trinidad and Tobago,National,Legislation,"Removal of all taxes and duties on the importation of EVs, with an age limit of two years on used imports.",2021.0,Taxation,Government of Trinidad and Tobago,Unclear / Needs Review
Turks and Caicos Islands,National,Legislation,Ban on the import of vehicles more than 10 years old.,2021.0,Multiple,Turks and Caicos Government,ICE Bans
Türkiye,Multi-national,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2021.0,M/HDV,CALSTART: Drive to Zero MOU,ZEV Mandates
Ukraine,National,Proposal,"Ban on the import of used diesel buses and cars from 2027, and the ban on new and used petrol and diesel vehicles from 2030.",2021.0,Multiple,Government of Ukraine,ICE Bans
Ukraine,National,Proposal,"Requires the exclusive use of electric buses from 2030 onwards, with tenderers for the provision of such services required to have 20% electric buses in their fleets by 2025, 40% by 2027, and 80% by 2029.",2021.0,Bus,Government of Ukraine,ZEV Mandates
United Kingdom,National,Target,"Electrifying 100% of the central government fleet by 2027, ahead of the original 2030 target.",2021.0,Multiple,Government of the United Kingdom,ZEV Mandates
United Kingdom,National,Ambition,Regulations in 2021 to mandate EV charge point provision in new homes.,2021.0,EVSE,Government of the United Kingdom,ZEV Mandates
United Kingdom,National,Ambition,Purchase of 4 000 ZEV buses as part of the Bus Back Better strategy.,2021.0,Bus,Government of the United Kingdom,ZEV Mandates
United Kingdom,National,Legislation,Grants towards the purchase of LCVs and taxis.,2021.0,LDV,Government of the United Kingdom,EV Grants
United Kingdom,National,Legislation,A grant of 20% available for vehicles with at least 50% fewer emissions than a conventional Euro VI vehicle and 96 km zero emission range.,2021.0,M/HDV,Government of the United Kingdom,EV Grants
United Kingdom,National,Proposal,"End the sale of all non-ZEV HGVs under 26 t gross vehicle weight from 2035, and of all new non-ZEV HGVs from 2040.",2021.0,M/HDV,Government of the United Kingdom,ZEV Mandates
United Kingdom,National,Proposal,Up to USD 1.2 billion Automotive Transformation Fund (ATF) commitment to support the electrification of UK vehicles and their supply chains as part of the Net Zero Strategy.,2021.0,Manufacturing,Government of the United Kingdom,Net-Zero Regulations
United Kingdom,Multi-national,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2021.0,M/HDV,CALSTART: Drive to Zero MOU,ZEV Mandates
United States,National,Legislation,"Support to reach goal of 500 000 chargers by 2030 through USD 5 billion in formula funding for states, as well as USD 2.5 billion for a competitive grant programme (Infrastructure Investment and Jobs Act).",2021.0,EVSE,Government of the United States,EV Grants
United States,National,Ambition,50% of all new vehicles sold to be zero-emissions in 2030.,2021.0,LDV,Government of the United States,ZEV Mandates
United States,Subnational,Legislation,Incentives for ZEV infrastructure equipment for HDV battery electric and hydrogen fuel cell vehicles in California.,2021.0,EVSE,CALSTART,ZEV Mandates
United States,Subnational,Proposal,"Advanced Clean Fleets (ACF) proposes to reach 100% zero-emission drayage trucks, last mile delivery, and government fleets by 2035; 100% zero-emission refuse trucks and local buses by 2040; 100% zero-emission capable utility fleets by 2040.",2021.0,M/HDV,California Air Resources Board,ZEV Mandates
United States,Subnational,Legislation,100% of in-state sales of off-road vehicles and equipment will be zero-emissions by 2035.,2021.0,Multiple,New York State Senate,ZEV Mandates
United States,Subnational,Legislation,100% of in-state sales of passenger cars or light duty trucks will be zero-emissions by 2035.,2021.0,LDV,New York State Senate,ZEV Mandates
United States,Subnational,Legislation,100% of in-state sales of M/HDV will be zero-emissions by 2045.,2021.0,M/HDV,New York State Senate,ZEV Mandates
Uruguay,Multi-national,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2021.0,M/HDV,CALSTART: Drive to Zero MOU,ZEV Mandates
Uzbekistan,National,Legislation,Exemptions and/or reductions of various taxes and duties for EVs.,2021.0,Taxation,Government of Uzbekistan,Unclear / Needs Review
Wales,Multi-national,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2021.0,M/HDV,CALSTART: Drive to Zero MOU,ZEV Mandates
Canada,Multi-national,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",2022.0,LDV,Accelerating to Zero Coalition,ZEV Mandates
Canada,Multi-national,Ambition,"The pledge goal is 100% zero-emission LDV acquisitions of civil government owned and operated fleet, with aspirations for 100% zero-emission M/HDV acquisitions, by no later than 2035. Canada also specifically aims for 75% of all government LDV purchases to be ZEVs or hybrid, with the objective that the LDV fleet is 100% ZEV by 2030.",2022.0,"LDV, M/HDV",Zero Emissions Government Fleet Declaration,ZEV Mandates
Canada,National,Legislation,"Grants towards the purchase or lease of BEV, FCEV, or PHEV trucks (iMHZEV programme).",2022.0,M/HDV,Government of Canada,ZEV Mandates
Canada,National,Legislation,Database of charging incentives available for homes and businesses in Canada.,2022.0,EVSE,Government of Canada,Unclear / Needs Review
Canada,National,Legislation,"Grants towards the purchase or lease of BEV, FCEV, or PHEV coaches (iMHZEV programme).",2022.0,Bus,Government of Canada,ZEV Mandates
Canada,National,Legislation,Contribution of up to 50% of the project cost (75% for indigenous businesses and communities) when installing charging infrastructure (Zero Emission Vehicle Infrastructure Program supported by Canada's Infrastructure Bank),2022.0,EVSE,Government of Canada,ICE Bans
Canada,National,Target,"35% of M/HDV sales to be ZEV by 2030, and 100% of selected M/HDVs by 2040.",2022.0,M/HDV,Government of Canada,ZEV Mandates
Indonesia,National,Legislation,Presidential instruction Indonesia requires government offices to procure and use EVs.,2022.0,Multiple,Government of Indonesia,ZEV Mandates
Indonesia,National,Legislation,Tax incentive scheme to reduce the cost of electric LDVs and buses with shares of domestic components.,2022.0,"Taxation, LDV",Government of Indonesia,Unclear / Needs Review
Ireland,Multi-national,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",2022.0,LDV,Accelerating to Zero Coalition,ZEV Mandates
Ireland,National,Legislation,Grants towards the purchase of passenger and LCV BEVs.,2022.0,LDV,Sustainable Energy Authority of Ireland,EV Grants
Ireland,National,Legislation,"Grants for BEV public service vehicles, including bonuses for the scrappage of older more polluting vehicles with high mileage.",2022.0,LDV,Government of Ireland,EV Grants
Ireland,National,Target,"Various grants and funding schemes in place to support infrastructure development, aiming for at least 11 HDV charging pools to be installed by 2025.",2022.0,EVSE,Government of Ireland,Early EV R&D
Ireland,Multi-national,Target,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2022.0,M/HDV,CALSTART: Drive to Zero MOU,ZEV Mandates
Israel,Multi-national,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",2022.0,LDV,Accelerating to Zero Coalition,ZEV Mandates
Israel,Multi-national,Ambition,"The pledge goal is 100% zero-emission LDV acquisitions of civil government owned and operated fleet, with aspirations for 100% zero-emission M/HDV acquisitions, by no later than 2035. Israel also specifically aims for all new government passenger vehicles from 2022 to be hybrid, and all electric from 2025.",2022.0,"LDV, M/HDV",Zero Emissions Government Fleet Declaration,ZEV Mandates
Italy,National,Legislation,"Grants towards the purchase of a new BEV, lower amount for PHEVs, with an additional scrappage bonus available.",2022.0,LDV,Government of Italy,EV Grants
Italy,National,Legislation,Phase out new ICE cars by 2035 and LCVs by 2040.,2022.0,LDV,Government of Italy,ICE Bans
Italy,National,Legislation,Grants towards the purchase of electric LCVs.,2022.0,LDV,Government of Italy,EV Grants
Italy,National,Legislation,Grants available towards the purchase of EV trucks.,2022.0,M/HDV,Government of Italy,EV Grants
Italy,National,Legislation,30% of the purchase price (up to EUR 3 000) for BEV and PHEV two/three-wheelers. Up to 40% (EUR 4 000) if a Euro 0-3 bike is scrapped.,2022.0,2/3W,Government of Italy,Direct Subsidies
Japan,National,Legislation,Purchase subsidies for passenger cars.,2022.0,LDV,Government of Japan,Unclear / Needs Review
Japan,National,Legislation,"Purchase subsidies for buses, vans and trucks for commercial use.",2022.0,M/HDV,Government of Japan,Unclear / Needs Review
Japan,Subnational,Legislation,Subsidies for selected 2/3Ws to reach goal of 100% of new 2/3Ws being petrol-free by 2035.,2022.0,2/3W,Tokyo Metropolitan Environmental Public Corporation,ZEV Mandates
Kenya,Multi-national,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",2022.0,LDV,Accelerating to Zero Coalition,ZEV Mandates
Korea,National,Legislation,Funding available to incentivise EVSE.,2022.0,EVSE,Government of Korea,Unclear / Needs Review
Liechtenstein,Multi-national,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",2022.0,LDV,Accelerating to Zero Coalition,ZEV Mandates
Liechtenstein,Multi-national,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2022.0,M/HDV,CALSTART: Drive to Zero MOU,ZEV Mandates
Lithuania,Multi-national,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",2022.0,LDV,Accelerating to Zero Coalition,ZEV Mandates
Lithuania,Multi-national,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2022.0,M/HDV,CALSTART: Drive to Zero MOU,ZEV Mandates
Luxembourg,Multi-national,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",2022.0,LDV,Accelerating to Zero Coalition,ZEV Mandates
Malta,Multi-national,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",2022.0,LDV,Accelerating to Zero Coalition,ZEV Mandates
Mexico,Multi-national,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",2022.0,LDV,Accelerating to Zero Coalition,ZEV Mandates
France,Multi-national,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",2022.0,LDV,Accelerating to Zero Coalition,ZEV Mandates
France,National,Legislation,Grant of up to 40% of the cost of a new EV/FCEV truck.,2022.0,M/HDV,Government of France,EV Grants
Gambia,National,Target,"Promote low emission fuel and HEVs, introduce an age limit of a maximum of 3 years for imported vehicles.",2022.0,LDV,Government of Gambia,Unclear / Needs Review
Germany,Multi-national,Ambition,"The pledge goal is 100% zero-emission LDV acquisitions of civil government owned and operated fleet, with aspirations for 100% zero-emission M/HDV acquisitions, by no later than 2035. Germany also specifically for 100% of all new or replacement vehicles to be environmentally friendly drive technologies by 2030, and by 2025 at least 50% of which will be electric drives.",2022.0,"LDV, M/HDV",Zero Emissions Government Fleet Declaration,ZEV Mandates
Germany,National,Target,Approximately one-third of kilometres travelled to take place on the basis of electrical drives or eFuels by 2030.,2022.0,M/HDV,Government of Germany,ZEV Mandates
Ghana,Multi-national,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",2022.0,LDV,Accelerating to Zero Coalition,ZEV Mandates
Ghana,National,Ambition,"4%, 16%, and 32% of cars sold to be EVs in 2025, 2030, and 2050 respectively.",2022.0,LDV,Government of Ghana,Unclear / Needs Review
Ghana,National,Ambition,"4%, 16%, and 32% of public buses sold to be EVs in 2025, 2030, and 2050 respectively.",2022.0,Bus,Government of Ghana,Unclear / Needs Review
Greece,Multi-national,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",2022.0,LDV,Accelerating to Zero Coalition,ZEV Mandates
Greece,National,Legislation,"From 2024, 25% of new company cars to have emissions less than 50gCO2/km from 2024. 33% of taxis and leased vehicles to be zero-emissions from 2026.",2022.0,LDV,Government of Greece,ZEV Mandates
Greece,National,Legislation,Ensure adequate charging facilities to meet EV targets.,2022.0,EVSE,Government of Greece,Unclear / Needs Review
Holy See,Multi-national,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",2022.0,LDV,Accelerating to Zero Coalition,ZEV Mandates
Honduras,National,Proposal,At least 50% EVs in the urban public transport sector for passengers and light cargo by 2030. Announcement of possible adoption of ZEVs for mass public transport.,2022.0,Bus,Government of Honduras,ZEV Mandates
Iceland,Multi-national,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",2022.0,LDV,Accelerating to Zero Coalition,ZEV Mandates
Mexico,National,Legislation,"Recognition of lithium as strategic mineral, nationalisation of its value chain. Creation by decree of ""Lithium for Mexico"" (Litio para Mexico), a decentralised public body.",2022.0,Manufacturing,Government of Mexico,Unclear / Needs Review
Mexico,National,Ambition,50% of vehicles produced to be ZEV by 2030.,2022.0,Manufacturing,Government of Mexico,ZEV Mandates
Morocco,Multi-national,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",2022.0,LDV,Accelerating to Zero Coalition,ZEV Mandates
Morocco,National,Target,"Target of almost 30 000 charging points for LDVs, 2/3Ws, and buses by 2030.",2022.0,EVSE,Government of Morocco,ZEV Mandates
Morocco,National,Legislation,"Reduced duties, green loans and subsidies, as well as exemptions for EVs from luxury and road taxes.",2022.0,Taxation,Government of Morocco,Unclear / Needs Review
Morocco,National,Target,Target of 2 000 electric buses in 2030.,2022.0,Bus,Government of Morocco,Direct Subsidies
Morocco,National,Target,Target of 250 000 electric 2/3Ws in 2030.,2022.0,2/3W,Government of Morocco,Direct Subsidies
Morocco,National,Target,Target of 258 000 electric cars in 2030.,2022.0,LDV,Government of Morocco,Direct Subsidies
Netherlands,Multi-national,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",2022.0,LDV,Accelerating to Zero Coalition,ZEV Mandates
Netherlands,National,Legislation,"Grants available towards the purchase of ZEV trucks, with the amount varying depending on the size of the company purchasing the vehicles.",2022.0,M/HDV,Government of the Netherlands,ZEV Mandates
Netherlands,Multi-national,Ambition,"The pledge goal is 100% zero-emission LDV acquisitions of civil government owned and operated fleet, with aspirations for 100% zero-emission M/HDV acquisitions, by no later than 2035.",2022.0,"LDV, M/HDV",Zero Emissions Government Fleet Declaration,ZEV Mandates
New Zealand,Multi-national,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",2022.0,LDV,Accelerating to Zero Coalition,ZEV Mandates
New Zealand,National,Target,Reduce emissions from freight transport by 35% by 2035.,2022.0,M/HDV,Government of New Zealand,Unclear / Needs Review
New Zealand,National,Legislation,"Clean Car Import Standard sets ambitious targets and financial penalties on vehicle distributors to reduce average emissions to 63 grammes of CO2/km for passenger cars and 87 grammes for LCVs for vehicles entering New Zealand by 2027, equivalent to a ca. 40% reduction in CO2 emissions by 2025, and a ca. 65% by 2027 (from 2021). Revenues generated are used to provide rebates on BEVs and PHEVs.",2022.0,LDV,Government of New Zealand,EV Grants
New Zealand,National,Legislation,"Rebates available for ZEV and low-emission vehicles, with reduced rates for used vehicles, also included are fees for higher emitting vehicles (Clean Car Discount).",2022.0,LDV,Government of New Zealand,ZEV Mandates
New Zealand,National,Target,Increase ZEVs to 30% of the light fleet by 2035.,2022.0,LDV,Government of New Zealand,ZEV Mandates
New Zealand,Multi-national,Ambition,"The pledge goal is 100% zero-emission LDV acquisitions of civil government owned and operated fleet, with aspirations for 100% zero-emission M/HDV acquisitions, by no later than 2035.",2022.0,"LDV, M/HDV",Zero Emissions Government Fleet Declaration,ZEV Mandates
Nicaragua,National,Legislation,"EVs are exempt from import customs duty, selective consumption tax, and value added tax.",2022.0,"Taxation, Multiple",Government of Nicaragua,Unclear / Needs Review
Norway,Multi-national,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",2022.0,LDV,Accelerating to Zero Coalition,ZEV Mandates
Norway,National,Ambition,Goods distribution in the biggest city centres to be virtually zero-emissions by 2030.,2022.0,Multiple,Government of Norway,ZEV Mandates
Norway,Multi-national,Ambition,"The pledge goal is 100% zero-emission LDV acquisitions of civil government owned and operated fleet, with aspirations for 100% zero-emission M/HDV acquisitions, by no later than 2035. Norway specifically aims for all new LDVs to be ZEVs, and that all new city buses are ZEV or biogas by 2025, as well as 75% of new heavy vans and long-distance buses, and 50% of new lorries being ZEV by 2030.",2022.0,"LDV, M/HDV",Zero Emissions Government Fleet Declaration,ZEV Mandates
Panama,National,Target,"Transition of selected public entity vehicles and transport solutions to EV: 10% by 2025, 25% by 2027, 40% by 2030.",2022.0,"Bus, Multiple",Government of Panama,ZEV Mandates
Panama,National,Target,"Transition of public transport to EV: 10% by 2025, 20% by 2027, and 33% by 2030.",2022.0,Bus,Government of Panama,Infrastructure Spending
Papua New Guinea,National,Target,15% share of EVs in all new vehicle sales by 2030.,2022.0,Multiple,Government of Papua New Guinea,ZEV Mandates
Papua New Guinea,National,Target,"Range of subsidies for a limited number of charger installations, commercial vehicles and cars.",2022.0,Multiple,Government of Papua New Guinea,Unclear / Needs Review
Paraguay,Multi-national,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",2022.0,LDV,Accelerating to Zero Coalition,ZEV Mandates
Philippines,National,Legislation,"Electric Vehicle Industry Development Act (EVIDA) provides fiscal and non-fiscal incentives to support e-mobility including tax exemptions, and also governs the manufacturing, assembly, importation, construction, installation, maintenance, trade and utilisation, research and development and regulation of EVs.",2022.0,"Manufacturing, Taxation",Government of the Philippines,Early EV R&D
Poland,Multi-national,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",2022.0,LDV,Accelerating to Zero Coalition,ZEV Mandates
Poland,National,Legislation,Additional subsidies specifically for the purchase of EVs and chargers by the country's national parks.,2022.0,Multiple,Government of Poland,Unclear / Needs Review
Poland,National,Legislation,Grant available equal to 30-50% of the eligible costs depending on power rating.,2022.0,EVSE,Government of Poland,EV Grants
Netherlands,National,Legislation,"Registration and motor tax exemptions for ZEVs, and reduced rates for low emission vehicles.",,Taxation,Government of the Netherlands,ZEV Mandates
Rwanda,Multi-national,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",2022.0,LDV,Accelerating to Zero Coalition,ZEV Mandates
Seychelles,National,Target,30% of new private vehicle sales to be electric by 2030.,2022.0,LDV,Government of Seychelles,ZEV Mandates
Seychelles,National,Target,100% of public bus stock to be electric by 2050.,2022.0,Bus,Government of Seychelles,ZEV Mandates
Singapore,National,Legislation,Enhanced Commercial Vehicle Emissions and Early Turnover Schemes which provides incentives and discounted registration costs to owners replacing their older more polluting vehicles.,2022.0,"Multiple, Taxation",Government of Singapore,Unclear / Needs Review
Slovenia,Multi-national,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",2022.0,LDV,Accelerating to Zero Coalition,ZEV Mandates
Solomon Islands,National,Target,"EV sales share targets of 5%, 10% and 15% by 2025, 2030 and 2035.",2022.0,M/HDV,Government of the Solomon Islands,Unclear / Needs Review
Solomon Islands,National,Target,"EV sales share targets of 20%, 50% and 70% by 2025, 2030 and 2035.",2022.0,Bus,Government of the Solomon Islands,Unclear / Needs Review
Solomon Islands,National,Target,"EV sales share targets of 20%, 30%, and 40% by 2025, 2030 and 2035. Targets are higher for taxis, and lower for LCVs.",2022.0,LDV,Government of the Solomon Islands,Unclear / Needs Review
